Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Salary
 Graphics Hardware Engineer,5 - 7 yrs, Simulation/ Electronics/ System analysis/ Graphics/ Electricals/ Hardware/ Power management/ Research,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,3804
 Visual Designer,1 - 3 yrs, Visual Designer/ animations/ Photoshop/ Infographics/ Corel draw/ Motion Graphics/ Illustrator/ infographics/ CorelDRAW,Creative,Bengaluru,"Design , Creative , User Experience","IT-Software, Software Services",Visualiser,3159
 Web Designer,3 - 8 yrs, Web technologies/ CSS/ Photoshop/ Intranet/ Illustrator/ Web designing/ Business Executive/ XML,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer,4963
 ACCOUNTS EXECUTIVES,3 - 8 yrs, Accounts Executive/ Retail Executive/ Retail/ Tally,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Industrial Products, Heavy Machinery",Accounts Executive/Accountant,5957
 Finance & Accounting Associates,2 - 5 yrs, International finance/ Banking/ Accounting/ Data analysis/ Financial reporting/ Due diligence,Accounts,Noida,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Manager,6420
 DEALER - RETAIL BROKING,1 - 5 yrs, Equity/ Relationship/ HNI client handling/ Client acquisition/ Monitoring/ Revenue generation/ Lead generation/ Compliance/ Research/ NSE,Institutional Sales,Kolkata,"Sales , Retail , Business Development","Accounting, Finance",Sales Executive/Officer,4106
 SENIOR SOFTWARE DEVELOPER (MVC .NET),5 - 7 yrs, api/ Technical support/ Visual Studio/ bootstrap/ .net/ level/ MySQL/ cloud/ quality/ MS SQL/ Technical writing/ css/ ui/ angularjs/ mvc/ architecture/ html5/ UML/ sql/ infrastructure/ web/ server/ asp.net/ microsoft/ agile/ Javascript/ aws/ design,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2274
 Client Relationship Partner,2 - 7 yrs, Banking/ Relationship/ Saving/ Operational risk/ Trade/ Client relationship/ MIS reporting,Retail/Personal Banking,Bengaluru,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Sales Officer,3290
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)",2 - 7 yrs, sales management/ institutional sales/ corporate sales/ sales strategy/ B2B Sales,Institutional Sales,"Mumbai,Pune","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager,4565
 Dot Net Developer,2 - 7 yrs, relationship management/ jquery/ software/ soa/ quality systems/ sql server 2008/ sql/ service oriented architectures/ computer science/ software implementation/ design/ server,Programming & Design,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2105
 Lead Business Systems Analyst,7 - 8 yrs, Analyst,,Gurgaon,Other,"Banking, Financial Services, Broking",Other,5581
 Sr. Manager- Art in Mumbai || Opportunity @ Client side,7 - 12 yrs, Art Director,Senior Management,Mumbai,"Design , Creative , User Experience","Internet, Ecommerce",Creative Director,1832
 Hiring for Domestic/ International Processes.contact the HR Asap,0 - 3 yrs, web chat/ fresher/ Guest Relations/ inbound process/ icse/ back office/ outbound/ communication skills/ international bpo/ bcom/ Aviation/ chat process/ Public Speaking/ cbse/ uk process/ PR,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),4974
 Sr . Manager,7 - 10 yrs, Problem management/ Warehouse/ Manager Operations/ Automobile,,Ahmedabad,Top Management,"Recruitment, Staffing",Head/VP/GM-Operations,6362
 Manager Learning & Development,10 - 15 yrs,,Senior Management,Bengaluru,"HR , Recruitment , Administration , IR","Semiconductors, Electronics",Head/VP/GM-Training & Development,4563
 Urgent Requirement for CCE Telesales for Night Shift.,1 - 6 yrs, Inbound calls/ Service/ English/ Night shift/ process/ Telesales/ Printers/ Outbound/ Technical/ Business Executive,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),2023
 Vancancy for Inbound Tech Sales Executive,0 - 3 yrs, Service/ Inbound calls/ Technical support/ Domestic BPO/ process/ Bonus/ Comp/ Outbound/ Business Executive,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),6234
 Infrastructure SSO Architect- Looking For Early Joiners,10 - 20 yrs, SSO/ single sign - on/ single sign on/ IT Infrastructure,System Design/Implementation/ERP/CRM,"Gurgaon,Australia","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Solution Architect / Enterprise Architect,4185
 Sr. Architect / Project Position: Sr. Architect / Project,10 - 15 yrs, layout/ corel draw/ co/ ms/ photoshop/ monitoring/ mep/ material selection/ coordinating/ plumbing,Architectural Services,"Mumbai,Thane","Architecture , Interior Design","Real Estate, Property",Architect,1933
Nosql (couchdb/redis/bigtable/dynamodb), 4 - 6 Years,nosql/cassandra/database design/test cases/coding/analytical,Programming & Design, Bengaluru,"IT Software - DBA , Datawarehousing",IT-Software / Software Services,Software Developer,5722
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies,3 - 4 yrs, auditing/ process compliance/ soft skills/ customer service/ training needs/ accent,Training,Bengaluru (Vasanth nagar) ,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Voice & Accent Trainer,6823
 Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi,0 - 2 yrs, Marketing/ Fresher/ Sales,Retail Sales,"Delhi NCR,Agra,Aligarh,Bareilly,Faridabad,Ghaziabad,Meerut,Moradabad,Muzaffarpur","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager,2327
 AIT Global India Private Limited is Looking For JAVA Developer.,2 - 5 yrs, Java EE/ JSF/ Hibernate/ Core Java/ Software Development/ JDBC/ OOD/ Spring Boot/ Multithreading/ Spring Mvc,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4770
" Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA",2 - 4 yrs, Manager Technology/ Cloud computing/ Server architecture/ Customer satisfaction/ Virtualization/ Management/ Deployment/ Windows Troubleshooting,Programming & Design,Gurgaon,IT Software - System Programming,"Real Estate, Property",Technical Architect,4307
 Relationship Manager - Bangalore,2 - 4 yrs, area manager/ business development/ sales marketing/ territory manager/ regional manager/ sales officer/ regional sales manager/ territory sales manager/ area sales manager/ sales executive/ sales/ marketing executive/ sales manager/ regional business manager,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive/Officer,6228
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad,3 - 8 yrs, data - centre rack/ LAN/ cabling/ UTP Cables/ It Solution Sales/ Networking Sales/ Data Center/ Passive Networking/ Structured Cabling/ Sale/ Cable Tray/ Sales/ Data Center Rack,Corporate Sales,"Bengaluru,Hyderabad,Mumbai","Sales , Retail , Business Development","Electricals, Switchgears",Sales/Business Development Manager,6061
 Business Development Manager,3 - 5 yrs, market research/ sales executive/ marketing executive/ sales strategy/ customer profiling/ distributors/ Business Development,Retail Sales,"Bengaluru,Mumbai,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,5052
 Senior Manager-fundraising,12 - 18 yrs, fundraising/ finance,Operations/Processes/Finance/Legal,Bengaluru,"Financial Services , Banking , Investments , Insurance","Medical, Healthcare, Hospitals",Finance/Budgeting Manager,4754
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP,1 - 5 yrs, galileo/ gds/ amadeus/ worldspan/ travel sales consultants,Voice,"Delhi NCR,Gurgaon","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),6213
 UI Developer (Frontend Developer),3 - 8 yrs, Front end/ Doc/ Strategic HR/ phone/ Email/ Recruitment/ PDF/ MIN/ UI/ Consultancy,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Construction, Engineering, Cement, Metals",Software Developer,6069
 Netsuite Technical Consultant,3 - 5 yrs, CVS/ WHO/ ERP/ E-commerce/ middle east/ Open/ Technical/ CRM/ Rest/ Customization,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Technical Consultant,6352
"Java Full Stack – Technical Lead, Senior Engineer", 6 - 11 Years,Spring/JQuery/Technical Leader/Java/Hibernate/JS framework/Core Java/Javascript/Angular JS/Technical,Programming & Design, Bengaluru,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,2456
 ADM - External Affairs &amp; CSR - Bangalore,8 - 13 yrs, senior management/ Corporate Social Responsibility/ External Communications/ key skills/ Govt Liasioning/ ngo/ corporate pr,CSR & Sustainability,Bengaluru,CSR & Sustainability,"Automobile, Auto Anciliary, Auto Components",CSR Manager,3893
 Immediate Opening Asp.net MVC Developers For Mumbai (worli),3 - 5 yrs, API/ Asp.Net MVC/ entity framework,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6003
 Home loan,1 - 4 yrs, WHO/ Loans/ Sanction/ Direct Sales Associate/ Policies/ Bfsi/ Finance,Retail/Personal Banking,Kolkata,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Sales Officer,2657
" Sr. Resident, General & Laparoscopic Surgery",2 - 6 yrs, RAM/ Monitoring/ Dmc/ Senior Resident/ DNB,Medical Professional,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Surgeon,3852
 Angular Developer - Fulcrum Digital,4 - 6 yrs, JQuery/ JSON/ CSS/ Grunt/ Responsive Web Design/ Bootstrap/ Javascript/ HTML/ Web Development/ Angularjs,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3209
 Devops Engineer - Tools & Automation,5 - 8 yrs, open source/ Monitoring/ database/ python/ perl/ java/ linux/ Automation/ nosql,Programming & Design,Navi Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4127
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last,0 - 3 yrs, web chat/ Guest Relations/ fresher/ inbound process/ icse/ back office/ outbound/ communication skills/ international bpo/ bcom/ Aviation/ chat process/ Public Speaking/ cbse/ uk process/ PR,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),4664
 QA Functional Testing,3 - 6 yrs, QA/ Functional testing,Programming & Design,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,2155
 Sales Engineer,2 - 7 yrs, Sales Engineering,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Automobile, Auto Anciliary, Auto Components",Sales/Business Development Manager,3534
Software Engineer - Unity Developer, 3 - 8 Years,Object Oriented Programming/Automation Testing/Product Quality/Android/Asset Management/Lighting/Design Development/Software Engineering/GUI/Computer Science,Programming & Design,Bengaluru,IT Software - Mobile,Telecom / ISP,Software Developer,4927
 Associate Level 1 - Fund Accounting,1 - 5 yrs, NAV calculation/ Standard operating procedures/ Accounting/ Analytical/ Reconciliation/ Fund accounting/ Process improvement/ Subject Matter Expert/ Automation/ Corporate actions,Accounts,Chennai,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant,1906
 Associate Principal Analyst - Network Security Research,3 - 7 yrs, Secondary research/ IPS/ Firewall/ Networking/ Advisory/ Recruitment/ Analyst/ Research/ Network security,System Design/Implementation/ERP/CRM,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst,6272
 Training Specialist,4 - 8 yrs, Retail Sales/ Training Need Analysis/ sales training/ trainer/ Skill Development/ Regional Management/ Training/ Product Training/ Team Building/ MS Office/ Team Management/ Training Delivery/ Retail Marketing/ Competency Mapping,,Gurgaon,Other,"Telcom, ISP",Other,1784
 Urgent Opening For Field Recruiter ,1 - 6 yrs, hiring/ sourcing/ HRIS/ Recruitment/ staffing/ HR/ procurement,HR/ Recruitment / IR,Delhi NCR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,3186
 JAVA Developer,4 - 7 yrs, Computer science/ Continuous improvement,Programming & Design,Kolkata,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer,5744
 Urgent Openings For Pharma Freshers,0 - 3 yrs, pharmaceutical/ medical/ medical billing/ Pharma/ healthcare,Medical Professional,Pune,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Medical Representative,5195
 Front End Developer - Wordpress/html/css/javascript,3 - 5 yrs, JQuery/ SEO/ Ajax/ CSS/ Hosting/ Wordpress/ PHP/ MySQL/ Javascript/ HTML,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3683
 PHP Developer,2 - 6 yrs, analytical/ html/ api/ javascript/ third party/ jquery/ php mysql/ software development life cycle/ smarty/ ajax,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5509
Sr.consultant-power Distribution, 4 - 7 Years,Power sector/Banking/Renewable energy/Power distribution/Electricals,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations",Accounting / Finance,Associate/Senior Associate -(NonTechnical),4560
" Chinese, Spanish Language Expert (proofcheck Medical Content),",2 - 7 yrs, chinese/ medical/ spanish/ spanish language expert,Journalist/Writer,"Delhi NCR,Bengaluru","Journalism , Editing , Content","Medical, Healthcare, Hospitals",Proof Reader,4235
 Hiring for Tech Sales_Inbound UK/ US Voice Process,1 - 5 yrs, Inbound calls/ Voice process/ Issue/ Bonus/ support/ US shift/ Software/ Senior/ Technical/ Sales Associate,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),3101
 MS SQL Developer : 0 - 2 Years (only MALE Candidates),1 - 3 yrs, MS SQL/ SQL Development/ SQL Server/ SSRS/ Stored Procedures,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1934
 Machine Learning Engineer || Gurgaon/chandigarh Location,3 - 8 yrs, Machine Learning/ Linux/ GIT/ Python,Programming & Design,"Delhi NCR,Chandigarh","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2319
 Nurses,2 - 5 yrs, Business Executive/ GNM,Medical Professional,Pune,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Internet, Ecommerce",Nurse,2098
 Marketing Executive,2 - 7 yrs, relationships/ implementation/ site/ product/ marketing executive/ customer/ customers/ company/ institutions,Marketing,"Noida,Noida/Greater Noida","Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Direct Marketing Executive,4807
HR Recruiter (volume Hiring), 2 - 5 Years,Sourcing/Interviewing/Staffing/Recruitment/Human Resource Management/Orientation/HR/Volume Hiring/BPO Hiring/Onboarding,HR/ Recruitment / IR, Gurgaon,"HR , Recruitment , Administration , IR",BPO / Call Centre / ITES,HR Executive,6631
 Java Full Stack Developer,4 - 7 yrs, JQuery/ JPA/ Web Services/ CSS/ Java/ Spring Boot/ Javascript/ HTML/ Rest/ Spring Mvc,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6708
 GM Finance- Export Import Company,10 - 17 yrs, financial analysis/ VP Finance/ taxation/ financial planning,Senior Management,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import",Head/VP/GM-Finance/Audit,2007
 Content Writer,1 - 3 yrs, SEO/ Web technologies/ Publishing/ Management systems/ Content management/ Brand awareness/ Wordpress/ Social media/ Research/ Journalism,Content Development,Bengaluru,"Journalism , Editing , Content","Advertising, PR, MR, Event Management",Content Developer,4162
 Job Opening for Sm/avp_credit Audit_mumbai,7 - 10 yrs, Banking/ Credit Risk/ Auditing/ Audit Planning/ Risk Assessment/ Credit Policy,Senior Management,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Head/VP/GM-CFO/Financial Controller,3882
 iOS Game Developer,3 - 8 yrs, c++/ software/ C/ JavaScript/ gaming/ HTML/ ios/ MySQL/ development/ iphone/ design/ opengl,Programming & Design,"Faridabad,Gurgaon,Mumbai","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1860
 Hiring: Executive-business Developer(seller Acquisition) On Contract,1 - 4 yrs, e - commerce/ business development/ fresher/ sales officer/ new product development/ field sales/ mba fresher/ sales executive/ sales/ sales associate/ channel sales,Retail Sales,Ahmedabad,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,3241
 Java/j2ee Application Developer,3 - 6 yrs, ui development/ rest/ oracle/ java/ sql/ oop/ angularjs,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer,3436
" Accepting Application for Intership for Java, PHP, Web Design, Android",0 - 1 yrs, Programming/ Application/ Commerce/ jQuery/ PHP/ Android/ Javascript/ HTML/ Visualization/ Web designing/ web,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2821
 Automation-Expert-Senior-Automation-Expert,3 - 5 yrs, Operations/ Market intelligence/ Artificial Intelligence/ Process automation/ Corporate/ Machine learning/ Analytics/ Robotics/ Commodity Markets/ Relationship,Programming & Design,"Gurgaon,haryana",IT Software - QA & Testing,"IT-Software, Software Services",Team Lead/Technical Lead,2090
 Product Manager- Marketing(consumer Durables),5 - 10 yrs, Marketing Management/ Digital Marketing/ Process Flow/ Social Media/ Marketing Campaigns/ Dealer Sales/ IT Sales/ Btl/ Channel Partners/ Communication Skills,Institutional Sales,Mumbai,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,2385
 Embedded Android Engineer,10 - 12 yrs, Middleware/ Computer science/ Test scripts/ Firmware/ Test strategy/ Android/ Linux kernel/ SOC/ Bluetooth/ Troubleshooting,Programming & Design,Noida,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Semiconductors, Electronics",Software Developer,1880
 Inbound International BPO Voice Process-US Shift,1 - 4 yrs, International BPO/ Antivirus/ Customer Service Executive/ Voice process/ Technical support/ Inbound voice process/ Comp/ Technical Support Executive/ Outbound/ US shift,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),6309
 Jr. Support Executives,1 - 6 yrs,,Other,Mumbai,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Fresher,6466
 Sales Executive,0 - 1 yrs, Cold calling/ Sales Executive/ sales strategy/ market research/ sales executive/ marketing executive/ distributors/ customer profiling/ Business Development,Retail Sales,"Coimbatore,Raipur,Visakhapatnam,Pune","Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Executive/Officer,2329
 Recruitment Officer ,0 - 1 yrs, IR/ Recruitment Executive/ Recruitment/ Administration/ HR,HR/ Recruitment / IR,Bengaluru,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,1824
 Senior Principal Software Engineer,8 - 10 yrs, Software design/ Cloud/ Computer science/ Monitoring/ Backend/ Inside sales/ Web development/ Analytics/ Healthcare/ JIRA,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Technical Architect,3944
 Senior Branch Sales & Development Head - Agency - General Insurance,5 - 9 yrs, Financial Products/ Sales Initiatives/ Distributor Sales/ Motor Insurance/ Advisory Services/ Sales Development/ Branch Sales/ General Insurance/ Team Management/ Marketing,General Insurance,"Delhi NCR,Mumbai,Pune,Ahmedabad,Gurgaon,Nagpur,Gujarat,Maharashtra,Nashik","Financial Services , Banking , Investments , Insurance",Insurance,Branch Manager,2887
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition,0 - 5 yrs, business development/ sales officer/ sales executive/ mr/ clinical pharmacy/ territory executive,Retail Sales,"Chennai,Bengaluru","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales Executive/Officer,4992
 Urgent job Position For SAP MDG Functional Analyst- All Over India,6 - 11 yrs,,System Design/Implementation/ERP/CRM,"Delhi NCR,Mumbai,Bengaluru","IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant,1558
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon,7 - 12 yrs, VD/ sheetmetal/ purchase/ sheet metal/ sourcing/ sap/ scm/ vendor development/ material/ BOP/ procurement,Purchase/Material Management,Gurgaon,"Supply Chain , Logistics , Purchase , Materials","Industrial Products, Heavy Machinery",Purchase/Vendor Development Manager,2929
 Java with AngularJS and Spring,3 - 6 yrs, Computer Science/ Ajax/ DOM/ CSS/ Core Java/ Javascript/ HTML/ Angularjs/ Spring,Programming & Design,Greater Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5708
 Manager- Admission,2 - 7 yrs, Help Desk/ placements/ data analysis/ Admissions/ access controls/ Asset Management,Other,Ghaziabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Other,3367
 Full Time Academic Writer for Ca/cma- Accounting & Taxation,0 - 3 yrs, icwa/ auditing/ taxation/ company secretary/ academic research/ accounting/ us gaap/ ifrs/ company law/ corporate law/ cma/ international taxation/ cost accounting,,"Delhi NCR,Delhi,Greater Noida,Gurgaon,Noida",Other,"Education, Teaching, Training",Other,3768
 Sales Head for It Consulting Company in Gurgaon,4 - 8 yrs, bdm/ marketing/ business development/ ncr/ sales/ hardware sales/ it sales,Retail Sales,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager,2522
 Adeeba Group is Currently hiring for US Inbound Tech Process.,2 - 7 yrs, Service/ Inbound calls/ English/ Night shift/ Technical support/ Voice process/ process/ Group/ Outbound/ Technical,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),2739
 Mechanical Engineer Require For Shut Down,5 - 10 yrs, Quality Inspection/ Diploma/ MPI/ Mechanical Engineering/ NDT Level/ Inspection Engineering/ UT/ NDT Inspection/ Level Ii/ RT/ PT,Production/Manufacturing/Maintenance,Kolkata,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure",Service/Maintenance Engineer,2459
 CARE Specialist,2 - 5 yrs, Windows/ CAD/ Customer satisfaction/ Customer service/ Application software/ Customer relationship/ Healthcare/ Illustrator/ Graphic designing,Voice,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","Printing, Packaging",Associate/Senior Associate -(NonTechnical),1678
 Opening For Fresher,0 - 1 yrs, any graduate/ Voice Support/ Voice Process/ BPO,Voice,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),6591
 Technical Support Associate / Technical Sales Associate-Inbound Voice ,0 - 3 yrs, technical sales associate/ Technical Associate/ Antivirus/ Inbound calls/ Voice support/ Technical support/ Technical Support Associate/ Comp/ Outbound/ Sales,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),5972
 Head of Maintenance,12 - 18 yrs, Management Skills/ Inventory Management/ Electricals/ Hydraulics/ Equipment Maintenance/ Maintenance Head,Senior Management,"Mumbai,Pune","Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Head/VP/GM-Production/Manufacturing/Maintenance,6176
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)",2 - 6 yrs, hive/ core java/ hadoop/ aws/ big data/ apache/ itil process,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4642
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore,3 - 8 yrs, insurance broking/ motor insurance/ insurance sales/ general insurance,Corporate Sales,"Mumbai,Bengaluru","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager,2977
Spring Boot, 3 - 8 Years,Control system/Version control/Outsourcing/Hibernate/Business process/Multithreading/Eclipse/SQL/OOAD/Memory management,Programming & Design, Bengaluru,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Team Lead/Technical Lead,5170
 Sr. Engineer Design (Mechanical),2 - 6 yrs, AutoCAD/ Pressure vessels/ Mechanical/ CATIA/ PSCAD/ Primavera,Engineering Design,Pune,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,2998
 Senior Manager Cost & Program Management,6 - 9 yrs, Supply Chain/ Program Management/ Project Execution/ Data Analytics/ Team Management/ Operations Planning/ Customer Experience,Purchase/Material Management,Bengaluru,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase/Vendor Development Manager,6415
 Manager Sales Commercial Segment,4 - 9 yrs, Sales Management/ business development management,Retail Sales,"Delhi NCR,Chandigarh,Mohali","Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager,2264
 Outbound Sales Executive,1 - 5 yrs, tele sales/ Outbound Sales/ Sales Executive Activities,,Pune,Other,Other,Other,6063
 US Tech Process,0 - 1 yrs, Inbound calls/ Technical support/ Domestic BPO/ process/ Bonus/ Comp/ Outbound/ US shift/ Technical,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),4291
" Community Manager,",0 - 1 yrs, Guest Relations/ Operations/ Hospitality Management/ Inventory Management/ Hospitality/ hotel management/ Front Office/ Bhm/ Vendor Management,Front Office/Customer Care,Bengaluru,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager,5975
 Software Engineer- Mobile Applications - Android,3 - 8 yrs, mobile development/ android/ windows/ financial s,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1915
 Hardware Board Design Engineer,3 - 8 yrs, Hardware Board Design/ Design Engineering/ Mixed Signal,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,5066
 Corporate Head - Operations,5 - 10 yrs, business/ verbal communication/ operations/ analytical skills/ environment/ functional/ coaching,Senior Management,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Security, Law Enforcement",Head/VP/GM-Operations,5426
 HR Recruitment Executive,1 - 3 yrs, recruiter/ Screening/ Database/ Recruitment/ IT Recruitment/ Linkedin/ Sourcing/ hr recruitment/ Interviewing,HR/ Recruitment / IR,Noida,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",Recruitment Executive,5525
 Software Engineer Android,2 - 6 yrs, debugging/ developer/ eclipse/ usability/ mobile/ ui/ eclipse ide/ backend/ java/ objective c/ applications/ c/ linux/ technical/ development/ design/ server/ programming,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4995
 Sales Coordinator,0 - 2 yrs, Sales Executive Activities/ Revenue Generation/ Inhouse Sales/ Retail Sales,Retail Sales,Ahmedabad,"Sales , Retail , Business Development","Retail, Wholesale",Counter Sales,2453
 Ecommerce Executive,0 - 5 yrs, International Voice/ Voice Process/ international bpo/ Customer Support/ International Voice Process/ BPO,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),2912
